id,comment
김명환-d7l,미친 베이스드럼을 노래시작부터 끝까지 팔로치네 ㅅㅂㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
구독해도아무일없습니,입으로 삼키기보단 입으로 내뱉는 것을 선택한 나라...
bamhyo_,한국 내한이.... 매우 시급해요... 이걸 한국에서 듣는다..? 심장이 남아나질 않겠는데
cherish0135,이 노래 가사는 왕을 나타내는게 아니라 ㄹㅇ 청춘을 노래하는 느낌임 누구에게나 청춘은 빛났고 화려했으니까할머니 할아버지가 되어서 지금들의 청춘들을 보면서 예전을 떠올리는거같음
전호민-t8s,진짜 웅장하단 말만 떠오른다이어폰 끼고 엄청 크게 들으면 심장이 두근대고슬픈노래도 아닌데 뭔가 울컥한다 나만 그렇냐
unsublee4895,2:12 ㄹㅇ 백인 북치는 형 표정 '어케했누?'
Ejrjeiisososss,속터져서 보러옴
김진우-w8s3u,노래 너무 좋아요
user-ou1on6vs2k,3:14 이때가 진짜 감동 최대치다….
목테오-b8i,내가 꼭 가고싶었던 내한 : 아비치지금 꼭 가고싶은 내한 : 콜드플레이 알렌워커 체인스모커스 마시멜로마틴게릭스 데이비드게타카이고 마룬 5
eunwoopark2187,용기와 장엄함을 부여해 주는 노래. 꼭 이기리라.
이지헤-z8h,북치는오빠 공연끝나고 옆에사람이 밥먹여줘야되는거아니냐 손떨려서 포크도못들거같은데
hakuna_matataz,진짜 천잰가..? 가사는 절망인데 멜로디가 희망와.. . 적절하게 믹스매치한게 이리 잘 어울릴수가세기의 곡이다
kingofthegimhae3831,카메라 앵글 진짜 ㅈ빠진다 ㄹㅇ 영화의 한 장면같음
lovelysseoji,이 노래는 진짜 10년째 들어도 안 질리네. 08학번인데 08년에 나온 노래였구나 뭔가 도전할 때 자신감을 가지게 해주는 그런 느낌이 있어서 종종 찾는 노래
코카콜라-v7s,합격하면 여기로 오기로 했었지Here I am.
최정원-d7s,예전에 이런 댓글 본거 같은데저 많은 관중들이 호응하고 즐겁게 공연하고나중에 집에가면 그 공허함은 장난아닐거 같다고
박예진-p3l,1:51 왕관을 내려놓는  퍼포먼스 진짜 지렸다
oj2358,사라진 인류애를 찾고자 할 때 마다 보러 옵니다. 삶에 찌들려서 피폐해지면 가사는 마음을 때리지만 공연 분위기와 경쾌한 멜로디가 해소해주네요...
yunis_,이게어떻게 2008년노래야................천재야?콜플 콘서트 가면 진짜 눈물날듯 너무 좋아서
ecometro,개인적으로 이런 명곡은 진짜 원곡자가 불렀을때가 가장 지리는듯 얼마전 유튭에서 슈퍼밴드 무대하고는 스케일을 떠나서 곡의 주인은 나다 하는 느낌이 강하다..아무리 좋은 구성과 편곡을 들이 밀어도 그 곡의 주인은 원곡자여라..
희희-q2u,노래를 부르는 사람이건 음악을 연주하는 사람들 관객 모두 다 자신감에 벅차 들뜨고 쿵쾅거리는 느낌으로 노래를 부르고 연주하고 즐겼을듯 개멋져
Dpflsdlek,속 답답해서 이거 또 들으러왔다 내일은 기쁘게 듣고 싶다
아야오이,3:13 이 부분은 언제들어도 가슴을 웅장하게 해준다
싸우지마-q7d,2:12 저거 손 맞았으면 ㄹㅇ 갑분싸
8p718,북에 손 집어넣을때 북아조씨 놀라는게 너무 귀여워서 이 영상만 보네
곰230마리,2025년 내 꿈 무조건 이룬다(잠들기 전 듣기 3일차)
우와싱기,대학교 기숙사에 쳐박혀서 공부만하다가 이 영상 보니까 한대 맞은거 같네요. 나는 무엇을위해 공부를하지. 저렇게 즐거운 인생을 살려면 분명 공부가 정답은 아닐텐데 .. 나는 왜 공부가  정답이 아닌걸 알면서도 계속 손에 펜을 쥐고있지.. 나는 왜  인생을 즐기지 못하지.... 내일이면 이 기분도  사라지고 다시 익숙한 펜을 잡고 기숙사에 쳐박혀서 공부를 하겠지
띵-k2m,개인적인 사정으로 인해 요새 우울한 기분과 바닥친 자존감때문에 힘들어하고 있었는데 이 노래를 들으면서 한결 자존감에 생기가 불어든 것 같습니다! 감사해요
바나나킥-y1t,이노래만 들으면 가슴이 벅차오르는데 저기 콘서트가면 그냥 정줄놓고 가수랑 다같이 미쳐서 즐길듯3:14 최애부분
civilian84,보통 노래는 가수 목소리가 더 감미로운데이 곡은 연주도 정말 인상적이라서 밸런스가 잘맞춰져있음. 그래서 이 그룹이 대단한거 같음
thinkbunch,가사가 진짜 영화한편이야...나중에 viva la vida제목으로 보헤미안 랩소디처럼 콜드플레이를 주인공으로 영화제작될것같음
yeopyeopkun,1:04 옛날 하이마트 앞에 있던 큰 공기 인형
오도-y4r,솔직히 저 북치는 형이 진짜 대단하다.. 저렇게 노래한곡을 박자 안밀리고 일정하게 치기 진짜 어려운데
박망개-v5s,탄핵 가결되고 들으러 왔어요 헌재에서 파면되면 또 들으러 오겠습니다
바나나-v4e,저 형 얼굴표정도 웃을때 완전 찐텐으로 신나고 즐거워보여서 그 기운이 전달돼서 좋아
bookmakase,"아 정말 이거 볼때마다코로나 이전이 너무 그리워 미치겠네ㅜㅜㅜ언젠가 코로나가 끝이 나고 콘서트가서 꼭 다같이 떼창하고싶다,,, 나너우리 모두 정말 고생했다고ㅜㅜ"
김재혁-h6m,제가 이 노래 뭐냐고 친구한테 예전에 물어봤었는데 비바람이다 계속 이 ㅈㄹ 떨길래 꺼지라고 했었는데.....미안하다
km-pp6yj,코시국에 방구석에서 이 영상 보다가 나도 모르게 울었던 기억이..ㅎ  다시는 이런 공연 못누리는 거 아닌가하고 극도로 우울 했었는데 그 시기도 지나고 콜플이 다시 오는군요
유승철-l3x,"비바라비다는 인생만세라는 제목과 떼창을 유도하는 음률과 반대로, 가사는 몰락 왕의 이야기로 냉소를 퍼붓는다 J/헤롯 요한 살로메 삼각관계/빌라도/베드로/바울/소돔고모라/반석, 모래 집/루이16세 등의 이야기가 연속해서 은유적으로 등장하는데 명곡을 넘어서 엄청난 인문학적 가치의 작품 아닐까"
user-gl3fs2wx3v,1:50 왕관 내려두는 제스처는 지린다
user-pq5ue5vk3f,국어 공부하다가 들으니깐 존나 내가 한글 창제하는 기분인데+) 시험공부하느라 듣는데 ㅅㅂ 시험이 계속 미뤄져아 시험 2일 남음........나나 대박침
hyeongseopjeong872,지금 시국이 해피엔딩으로 끝날 때 나올 BGM
john____k0410,죽기전에 해야할 것 coldplay 내한공연가기ㅠㅠㅠ드디어갑니다ㅠㅠㅠ행복하네요️
prince_anchovy369,어이 자네.. 응 지금 스크롤 내리고 있는 당신..그래 자네..명곡을 알아보는 통찰력이 대단하시군
tearsyunaify,2:11 북칠때 손넣는거 리허설에 없었나보네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 당황한 윌ㅋㅋㅋㅋㅋㅋㅋ
한태영-o7n,"항상 인생의 난관과 부딪힐 때마다 찾게되는 명곡인 듯.... 다들 못갈거라 했던 과고를 준비하면서 많이 울고  외롭고 힘들었지만 이 노래가 그런 마음을 치유해준 거 같음 결국 과고 진학에 성공했고, 합격통보 받은 후 남산타워 가서 이 노래를 들었을 때의 그 흥분과 희열이 아직도 생각남. 그러나 내신 망치고 붕 떠버려서 방황을 하게 되었고 그 때 이 노래가 다시 한번 내 멘탈을 되잡아 다시 불을 붙혀줌. 한없이 나약하고 어린 한 사람에게 꿈과 열정을 부여해준 노래. 그런 학생은 올해 고3으로 이 노래와 함께 정시로 의대를 가려 합니다. 과고 붙었을 때보다 더 힘들고 어려운 도전이라 생각하지만 노력없인 성취할 수 있는 것도 없고 부딪혀보지 않고 얻을 수 있는 것도 없기에 오늘도 이 노래와 함께 책에는 정해진 답을, 인생이란 책에는 내가 원하는, 하고싶은 답을 적어 나갑니다. 전국 고3 여러분, 11년 간 고생 많이 하셨습니다. 어떨 때는 길고 어떨 때는 짧은 시간이었고, 힘들고 괴로웠단 시절도 있을 겁니다. 그래도 우리가 피눈물 흘려가며 했던 우리의 노력이 곧 빛을 발하는 시간이 다가옵니다. 마지막 1년, 화이팅합시다. 우리의 꿈과 미래를 위하여. 과고 붙고 남산타워에서 느꼈던 그 희열, 어쩌면 그것보다 더 할 그 느낌을 기약하며."
two_east,정말 대단한게 북소리 정도는 mr로 깔아둘만 한데 끝까지 라이브 고집해서 이정도로 웅장하게 들리는 듯하다
안철수가희망이었다,“시험공부 안해도 백점 받을 것 같은 노래”-기말 3일 남은 중딩리뷰: 평균 95.3
methodoflogic7513,이노래의 스토리는 한때 세상을 지배하던 자가 그 누구보다 낮아지고 (몰락) 그 사람의 관점에서 세상을 바라보는데서 시작한다. 이로써 세상과 힘 그리고 삶의 허무함을 노래하고있다.※Coldplay 왈 가사를 고민하던중 i used to rule the world(난 세상을 지배하곤했었다)가 뇌리에 스쳐 지나갔고 그걸 바탕으로 노래를 만든것이 바로 viva la vida이다.그리고 i know Saint Peter won't call my name (나는 성베드로가 내이름을 부르지 않을것을 안다.)라는 가사에 숨겨진 뜻이 있다. 성베드로는 천국의 열쇠를 지닌 수문장으로 묘사되곤 하는데 베드로가 이름을 부르지 않는다는 것은 천국으로 갈 수 없다는 뜻으로 해석이된다.
봄여름가을겨울-r7f,인류 문화의 정점 같다..
sugarpremium4547,저렇게 꽉찬 스타디움에서 다시 뛸 수 있는날이 오기만을 기다린다... 스포츠든 노래든 게임이든 같이 다같이 모여서 즐기고 싶다 진짜
KK_SHOW,물리 공부하면서 듣다가 노벨물리학상 받는 상상했다
울랄라-l6v,3:17 이때 표정이 너무 뭉클하다.. 진짜 행복해보여서..
노무현란한응딩이,"성인도 됐고 7년만에 콜플도 내한한다니 티켓팅 바로 진행시켜야 하는데, 내년이면 군대 가야해서 티켓팅이고 뭐고 그냥 못가게 생긴 05년생은 눈물을 흘리며 이 영상으로 마음을 달래봅니다."
노빠꾸-z6q,"I used to rule the worldSeas would rise when I gave the wordNow in the morning, I sleep aloneSweep the streets I used to ownI used to roll the diceFeel the fear in my enemy's eyesListen as the crowd would singNow the old king is dead! Long live the king!One minute I held the keyNext the walls were closed on meAnd I discovered that my castles standUpon pillars of salt and pillars of sandI hear Jerusalem bells are ringingRoman Cavalry choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainOnce you go there was never, never a honest wordAnd that was when I ruled the worldIt was a wicked and wild windBlew down the doors to let me inShattered windows and the sound of drumsPeople couldn't believe what I'd becomeRevolutionaries waitFor my head on a silver plateJust a puppet on a lonely stringOh, who would ever want to be king?I hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the worldOh, oh, oh, oh, ohI hear Jerusalem bells are ringingRoman Calvary choirs are singingBe my mirror, my sword and shieldMy missionaries in a foreign fieldFor some reason I can't explainI know Saint Peter won't call my nameNever an honest wordBut that was when I ruled the world"
sunset__02,2020/8/24 원하는 대학 수시로 합격후 오겠습니다.수시발표 11월..그때 좋은 결과 들고 오겠습니다.2020/11/3 드디어 수시결과합격했습니다!!이 노래가 절 합격의 길로 이끌었습니다!
haedup,전문가들이 코로나 이전의 삶으로 되돌아갈 수 없다던데 다시는 이런 공연을 못 보게 될 수도 있다는 건가그건 너무 슬픈데ㅠ
김야옹이-t4p,"번역 매끄러운거 보소...'그' 사람이 했다면 어땠을까..어땠을까...어땠을까아...""나는 세상을 지배하곤 했었지.""로 시작할라나.."
spooon90,이노래는 북을 뿌실듯이 치다가 중반부부터 죽을듯이 종을 치는형이 하나의 킬포이다
pulbak2597,왜 황석희 번역가님의 갓번역은 언급이없죠
남정민-z1c,"이 노래는 진짜 예술의 결정체 같음.루이16세를 연상케하는 내용의 가사를 쓰긴 했는데 단지 역사적 사실에만 머물러 있지 않고, 이 노래에 담긴 감정이 현대까지 관통하는 거 같음.자신의 찬란한 때를 그리워 하는 외로운 사람. 세상의 공감의 받지 못하고 반대방향에 있는 사람의 심정을 담아 냈기 때문에 그런듯.그러면서도 어떻게보면 침울하기 마련인데 또 반면에 노래는 신나는 멜로디로 끌고가는 기묘한 조화(?)가 있음. 마치 점점 다가오는 혁명의 목소리 같음.그리고 보통 민중의 입장에서 역사를 해석하는데, 반대로 이 노래는 왕의 입장에 주목했음. 과거 절대왕정의 잘못에 대한 대가로, 그리고 세상이 진보하기위해 자신의 머리를 내놓아야 하는데. 이는 한 개인의 입장에서 보면 비통한 일이지. 결국 왕이고 뭐고는 중요한게 아니라 왕 또한 인생을 딱 한번만 살아볼 수 있는 나약한 인간일뿐이지. 왕이라는 권력자의 목숨값을 노래하면서 인간의 본모습까지 연결되는 멜랑꼴리함이 있는듯.오랜만에 밤에 이 노래 들으러와서 감성 폭발해서 댓글 남김.2009년 1월에 전역하고 라디오를 많이 들었는데. 그때 배철수의 음악캠프에서 이 노래가 나왔었음. 나 또한 당시는 세상 뭐든 도전하면 될 거같은 스물넷이었는데. 이제 내년이면 마흔임."
hwan01_official,영상미 미쳤다 영화의 한 부분 같네 ㄷㄷ번역가님의 자막도 한 수인듯
coolweather9419,"요즘 정신적으로 일이든 체력이든 지쳐있었는데  이 노래만 들으면  어두운 지친 생각들이 싹 걷히고서 그렇게 뭉클하고 기분이 울컥하네요. 제게 승전보같은 노래인데, 정말 라이브로 이렇게 보니 더 행복합니다. ️"
tykim444,맨 뒤에 북치는 대머리 아저씨 사랑스럽다는 댓글 어디갔냐우울할때 마다 와서 웃고 갔는데..내가 써야겠네맨뒤에서 박자도 안 틀리고 치는 대머리 아저씨 너무 사랑스럽다정말 '모'자람이 없어..
정민호-d1u,가사가 중간중간 비는 부분이 많은데 이정도 분위기가 사는 곡인게 ㄹㅇ 대단하다
vanmumani,이 노래 음원으로 못듣겠음 관중들의 환호와 떼창이 없어서
이예진-v5m,이 노래 전지적 박근혜 시점이라는 댓글 어디갔냐
